Field,LongName,Description,Levels,Units,TermURL,HED
tlfb_salvia_first_use,,Was this the first time you tried HALLUCINOGEN DRUG: SALVIA? | 1 = Yes; 0 = No / tlfb_salvia_use_l  == '1' &&  event_name_number  > '11',1 = Yes | 0 = No,,,
tlfb_6mo_13_mj_l___1,,"During the past year, where did you get your marijuana (Choose all that apply): (1, From a doctor (prescription MJ in your name)) | 0 = No; 1 = Yes / tlfb_6mo_skip_l___9   == '1' ||  tlfb_6mo_skip_l___10   == '1' ||  tlfb_6mo_skip_l___11   == '1' ||  tlfb_6mo_skip_l___12   == '1' ||  tlfb_6mo_skip_l___13   == '1'",,,,
tlfb_6mo_13_mj_l___1,,"During the past year, where did you get your marijuana (Choose all that apply): (1, From a doctor (prescription MJ in your name)) | 0 = No; 1 = Yes / tlfb_6mo_skip_l___9   == '1' ||  tlfb_6mo_skip_l___10   == '1' ||  tlfb_6mo_skip_l___11   == '1' ||  tlfb_6mo_skip_l___12   == '1' ||  tlfb_6mo_skip_l___13   == '1'",0 = No | 1 = Yes,,,
poa_nihtb_3_y,,I felt calm. | 1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know,,,,
poa_nihtb_3_y,,I felt calm. | 1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know,1 = Not True | 2 = Somewhat True | 3 = Very True | 777 = Refuse to answer | 999 = Don't know,,,
poa_nihtb_7_y,,I felt confident. | 1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know,,,,
poa_nihtb_7_y,,I felt confident. | 1 = Not True; 2 = Somewhat True; 3 = Very True; 777 = Refuse to answer; 999 = Don't know,1 = Not True | 2 = Somewhat True | 3 = Very True | 777 = Refuse to answer | 999 = Don't know,,,
tox1_dot_y,,Collection 1: date and time saliva toxicology sample done: | Click 'Now' to use current date and time,,,,
tox1_mtd_y,,"Positive for Methadone? | 1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.",,,,
tox1_mtd_y,,"Positive for Methadone? | 1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.",1 = Yes | 2 = No | 3 = Invalid,,,
tox2_bzo_y,,"Positive for Benzodiazepine? | 1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.",,,,
tox2_bzo_y,,"Positive for Benzodiazepine? | 1 = Yes; 2 = No; 3 = Invalid; Participant has NOT been assigned to Drager Toxicology Test. Select ""Not applicable (not part of 10%)"" within next field, change form status to complete, and save.",1 = Yes | 2 = No | 3 = Invalid,,,
wps_q1_y,,I get as much information as I can. | 1 = Never; 2 = A Little; 3 = Sometimes; 4 = Pretty Often; 5 = Usually,,,,
wps_q1_y,,I get as much information as I can. | 1 = Never; 2 = A Little; 3 = Sometimes; 4 = Pretty Often; 5 = Usually,1 = Never | 2 = A Little | 3 = Sometimes | 4 = Pretty Often | 5 = Usually,,,
wps_q4_y,,I think of different ways to take care of it. | 1 = Never; 2 = A Little; 3 = Sometimes; 4 = Pretty Often; 5 = Usually,,,,
wps_q4_y,,I think of different ways to take care of it. | 1 = Never; 2 = A Little; 3 = Sometimes; 4 = Pretty Often; 5 = Usually,1 = Never | 2 = A Little | 3 = Sometimes | 4 = Pretty Often | 5 = Usually,,,
rel_family_id,,"Family ID (participants belonging to the same family share a family ID). The family ID is autocalculated and will change after the addition/removal of subjects from the ABCD study. Family IDs will, therefore, differ between data releases",,,,
genetic_pi_hat_1,,Probability of identity by descend between participant and genetic_paired_subjectid_1,,,,
genetic_zygosity_status_4,,"Genetically inferred zygosity status between participant and genetic_paired_subjectid_4 | 1= monozygotic ; 2= dizygotic ; 3=siblings ;-1= not available (twins/sibs, genetic_pi_hat not calculated)",,,,
genetic_zygosity_status_4,,"Genetically inferred zygosity status between participant and genetic_paired_subjectid_4 | 1= monozygotic ; 2= dizygotic ; 3=siblings ;-1= not available (twins/sibs, genetic_pi_hat not calculated)","1 = monozygotic | 2 = dizygotic | 3 = siblings | -1 = not available (twins/sibs, genetic_pi_hat not calculated)",,,
ksads_agorap_raw_1788_p,,Does your child's fear or avoidance of these situations cause problems for him or her in any of the following areas:At school | 0=No; 1=Yes,,,,
ksads_agorap_raw_1788_p,,Does your child's fear or avoidance of these situations cause problems for him or her in any of the following areas:At school | 0=No; 1=Yes,0 = No | 1 = Yes,,,
ksads_agorap_raw_1802_p,,"Back then, did your child's fear or avoidance of these situations cause problems for him or her in any of the following areas:At school | 0=No; 1=Yes",,,,
ksads_agorap_raw_1802_p,,"Back then, did your child's fear or avoidance of these situations cause problems for him or her in any of the following areas:At school | 0=No; 1=Yes",0 = No | 1 = Yes,,,
ksads_agorap_raw_186_p,,"In the past two weeks, how often has your child feared or avoided any of the following places because they make him or her super anxious?Bridges | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",,,,
ksads_agorap_raw_186_p,,"In the past two weeks, how often has your child feared or avoided any of the following places because they make him or her super anxious?Bridges | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",0 = Not at all | 1 = Rarely | 2 = Several days | 3 = More than half the days | 4 = Nearly every day,,,
ksads_aud_raw_1212_t,,You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months.Your drinking made your moods notably worse. | 0=No; 1=Yes,,,,
ksads_aud_raw_1212_t,,You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months.Your drinking made your moods notably worse. | 0=No; 1=Yes,0 = No | 1 = Yes,,,
ksads_aud_raw_592_t,,You said that you had a time when you drank on 12 or more occasions within a 12 month period. When did this begin?,,,,
ksads_aud_raw_1177_t,,"In the last 2 weeks, how often have you gone to school or work after you had been drinking or when you were hung over? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",,,,
ksads_aud_raw_1177_t,,"In the last 2 weeks, how often have you gone to school or work after you had been drinking or when you were hung over? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",0 = Not at all | 1 = Rarely | 2 = Several days | 3 = More than half the days | 4 = Nearly every day,,,
ksads_aud_raw_1212_p,,You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months Your child's drinking made his/her moods notably worse. | 0=No; 1=Yes,,,,
ksads_aud_raw_1212_p,,You endorsed the symptoms listed below as occurring at some time in the past. Please note if these symptoms were present in the past 0-3 months and also if they were present in the past 4-12 months Your child's drinking made his/her moods notably worse. | 0=No; 1=Yes,0 = No | 1 = Yes,,,
ksads_aud_raw_592_p,,You said that your child had a time when he or she drank on 12 or more occasions within a 12 month period. When did this begin?,,,,
ksads_aud_raw_1177_p,,"In the last 2 weeks, how often has your child gone to school or work after he or she had been drinking or when he or she was hung over? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",,,,
ksads_aud_raw_1177_p,,"In the last 2 weeks, how often has your child gone to school or work after he or she had been drinking or when he or she was hung over? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",0 = Not at all | 1 = Rarely | 2 = Several days | 3 = More than half the days | 4 = Nearly every day,,,
ksads_adhd_raw_973_p,,"In the past two weeks, how many days has your child made a careless mistake? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",,,,
ksads_adhd_raw_973_p,,"In the past two weeks, how many days has your child made a careless mistake? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",0 = Not at all | 1 = Rarely | 2 = Several days | 3 = More than half the days | 4 = Nearly every day,,,
ksads_adhd_raw_999_p,,"Back in September 2008, did your child have a lot of trouble organizing his/her homework or other tasks? | 0=No; 1=Yes",,,,
ksads_adhd_raw_999_p,,"Back in September 2008, did your child have a lot of trouble organizing his/her homework or other tasks? | 0=No; 1=Yes",0 = No | 1 = Yes,,,
ksads_adhd_raw_408_p,,Was it a problem for more than one school year? | 0=No; 1=Yes,,,,
ksads_adhd_raw_408_p,,Was it a problem for more than one school year? | 0=No; 1=Yes,0 = No | 1 = Yes,,,
stoptime,,Stop time,,,,
data_file6_type,,data file 6 type/description,,,,
ksads_asd_raw_565_p,,You said that in the past two weeks your child was frequently easily upset by changes in routines. When did this begin?,,,,
ksads_asd_raw_571_p,,"You said that in the past your child had unusual body movements. When was that? If this was true of them more than once, let me know when it was the worst.",,,,
ksads_asd_raw_564_p,,You said that in the past two weeks your child had unusual body movements. When did this begin?,,,,
bdefs_explain_seq_p,,Has difficulty explaining things in their proper order or sequence | 1= Never or Rarely ; 2= Sometimes ; 3= Often ; 4= Very Often ; 777= Refuse to Answer,,,,
bdefs_explain_seq_p,,Has difficulty explaining things in their proper order or sequence | 1= Never or Rarely ; 2= Sometimes ; 3= Often ; 4= Very Often ; 777= Refuse to Answer,1 = Never or Rarely | 2 = Sometimes | 3 = Often | 4 = Very Often | 777 = Refuse to Answer,,,
bdefs_process_info_p,,Doesn't seem to process information quickly or accurately | 1= Never or Rarely ; 2= Sometimes ; 3= Often ; 4= Very Often ; 777= Refuse to Answer,,,,
bdefs_process_info_p,,Doesn't seem to process information quickly or accurately | 1= Never or Rarely ; 2= Sometimes ; 3= Often ; 4= Very Often ; 777= Refuse to Answer,1 = Never or Rarely | 2 = Sometimes | 3 = Often | 4 = Very Often | 777 = Refuse to Answer,,,
dna_blood_dot_y,,Blood DNA sample date and time collected:,,,,
ksads_bd_raw_917_t,,"In the past two weeks, how often have you been talking either too much or too fast? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",,,,
ksads_bd_raw_917_t,,"In the past two weeks, how often have you been talking either too much or too fast? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",0 = Not at all | 1 = Rarely | 2 = Several days | 3 = More than half the days | 4 = Nearly every day,,,
ksads_bd_raw_942_t,,Did your thoughts race so fast that it was hard to keep up with them? | 0=No; 1=Yes,,,,
ksads_bd_raw_942_t,,Did your thoughts race so fast that it was hard to keep up with them? | 0=No; 1=Yes,0 = No | 1 = Yes,,,
ksads_bd_raw_122_t,,"In the past two weeks, how often have you lost your temper and done any of the following things:  yelled at someone, thrown or broken something, or hit, pushed or kicked someone? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",,,,
ksads_bd_raw_122_t,,"In the past two weeks, how often have you lost your temper and done any of the following things:  yelled at someone, thrown or broken something, or hit, pushed or kicked someone? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",0 = Not at all | 1 = Rarely | 2 = Several days | 3 = More than half the days | 4 = Nearly every day,,,
ksads_bd_raw_917_p,,"In the past two weeks, how often has your child been talking either too much or too fast? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",,,,
ksads_bd_raw_917_p,,"In the past two weeks, how often has your child been talking either too much or too fast? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",0 = Not at all | 1 = Rarely | 2 = Several days | 3 = More than half the days | 4 = Nearly every day,,,
ksads_bd_raw_942_p,,Did your child's thoughts race so fast that it was hard for him or her to keep up with them? | 0=No; 1=Yes,,,,
ksads_bd_raw_942_p,,Did your child's thoughts race so fast that it was hard for him or her to keep up with them? | 0=No; 1=Yes,0 = No | 1 = Yes,,,
ksads_bd_raw_122_p,,"In the past two weeks, how often has your child lost his or her temper and done any of the following things:  yelled at someone, thrown or broken something, or hit, pushed or kicked someone? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",,,,
ksads_bd_raw_122_p,,"In the past two weeks, how often has your child lost his or her temper and done any of the following things:  yelled at someone, thrown or broken something, or hit, pushed or kicked someone? | 0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",0 = Not at all | 1 = Rarely | 2 = Several days | 3 = More than half the days | 4 = Nearly every day,,,
bfq_med3_prn_p,,PRN (as needed) Medication? | 1=Yes ;  0=No ;  999=Don't Know [bfq_rxnorm_med3_p] <> '' and [bfq_med3_times_p_dk] = '',,,,
bfq_med3_prn_p,,PRN (as needed) Medication? | 1=Yes ;  0=No ;  999=Don't Know [bfq_rxnorm_med3_p] <> '' and [bfq_med3_times_p_dk] = '',1 = Yes | 0 = No | 999 = Don't Know,,,
bfq_caff_amt_p_dk,,How many times per day? | 999=Don't know [bfq_caff_p] ='1' and [bfq_caff_amt_p] = '',,,,
bfq_other5_unit_p,,"Unit(s): | 1=gram (g) ;  2=microgram (mcg) ;  3=milligram (mg) ;  4=kilogram (kg) ;  5=megagram (mgg) ;  6=liter (L) ;  7=ounce (oz) ;  8=pound (lb) ;  9=quart (qt) ;  10=International Units (IU) [bfq_other5_name_2_p] <> '0' and [bfq_other5_name_2_p] <> """" and [bfq_other5_amt_p_dk] = ''",,,,
bfq_other5_unit_p,,"Unit(s): | 1=gram (g) ;  2=microgram (mcg) ;  3=milligram (mg) ;  4=kilogram (kg) ;  5=megagram (mgg) ;  6=liter (L) ;  7=ounce (oz) ;  8=pound (lb) ;  9=quart (qt) ;  10=International Units (IU) [bfq_other5_name_2_p] <> '0' and [bfq_other5_name_2_p] <> """" and [bfq_other5_amt_p_dk] = ''",1 = gram (g) | 2 = microgram (mcg) | 3 = milligram (mg) | 4 = kilogram (kg) | 5 = megagram (mgg) | 6 = liter (L) | 7 = ounce (oz) | 8 = pound (lb) | 9 = quart (qt) | 10 = International Units (IU),,,
